assembly_name	sequence_name	sequence_length	GenBank_accession
arinalrfor	chr1A	602900890	LR862550.1
arinalrfor	chr1B	697493198	LR862551.1
arinalrfor	chr1D	490518203	LR862552.1
arinalrfor	chr2A	784661008	LR862553.1
arinalrfor	chr2B	810500911	LR862554.1
arinalrfor	chr2D	655314739	LR862555.1
arinalrfor	chr3A	752710991	LR862556.1
arinalrfor	chr3B	890847171	LR862557.1
arinalrfor	chr3D	621781073	LR862558.1
arinalrfor	chr4A	743084022	LR862559.1
arinalrfor	chr4B	676741658	LR862560.1
arinalrfor	chr4D	509452426	LR862561.1
arinalrfor	chr5A	710124532	LR862562.1
arinalrfor	chr5B	480767623	LR862563.1
arinalrfor	chr5D	578021311	LR862564.1
arinalrfor	chr6A	620140791	LR862565.1
arinalrfor	chr6B	716573881	LR862566.1
arinalrfor	chr6D	476726550	LR862567.1
arinalrfor	chr7A	756324664	LR862568.1
arinalrfor	chr7B	977471539	LR862569.1
arinalrfor	chr7D	642207261	LR862570.1
jagger	chr1A	596211899	LR862508.1
jagger	chr1B	705338699	LR862509.1
jagger	chr1D	493450010	LR862510.1
jagger	chr2A	804285258	LR862511.1
jagger	chr2B	810734643	LR862512.1
jagger	chr2D	673981989	LR862513.1
jagger	chr3A	754496630	LR862514.1
jagger	chr3B	855759449	LR862515.1
jagger	chr3D	614042580	LR862516.1
jagger	chr4A	743847818	LR862517.1
jagger	chr4B	673340788	LR862518.1
jagger	chr4D	515668560	LR862519.1
jagger	chr5A	713320806	LR862520.1
jagger	chr5B	703598484	LR862521.1
jagger	chr5D	570159854	LR862522.1
jagger	chr6A	625793224	LR862523.1
jagger	chr6B	721110502	LR862524.1
jagger	chr6D	459355444	LR862525.1
jagger	chr7A	745201001	LR862526.1
jagger	chr7B	749284433	LR862527.1
jagger	chr7D	643344672	LR862528.1
julius	chr1A	586755746	LR865500.1
julius	chr1B	704478343	LR865501.1
julius	chr1D	492109999	LR865502.1
julius	chr2A	791475352	LR865503.1
julius	chr2B	785940626	LR865504.1
julius	chr2D	661246824	LR865505.1
julius	chr3A	756990402	LR865506.1
julius	chr3B	858776195	LR865507.1
julius	chr3D	621195942	LR865508.1
julius	chr4A	754256086	LR865509.1
julius	chr4B	670301833	LR865510.1
julius	chr4D	509263899	LR865511.1
julius	chr5A	708234589	LR865512.1
julius	chr5B	725120110	LR865513.1
julius	chr5D	575129590	LR865514.1
julius	chr6A	620883766	LR865515.1
julius	chr6B	727285804	LR865516.1
julius	chr6D	479660269	LR865517.1
julius	chr7A	745978486	LR865518.1
julius	chr7B	750160716	LR865519.1
julius	chr7D	642428577	LR865520.1
lancer	chr1A	595297365	LR862529.1
lancer	chr1B	688905267	LR862530.1
lancer	chr1D	491807393	LR862531.1
lancer	chr2A	769338634	LR862532.1
lancer	chr2B	671568023	LR862533.1
lancer	chr2D	635285330	LR862534.1
lancer	chr3A	745618965	LR862535.1
